0,-1
-90/269,-165/269
-268/807,-165/269
-266/807,-165/269
58/807,-165/269
20/269,-165/269
62/807,-165/269
64/807,-165/269
76/807,-165/269
28/269,-165/269
86/807,-165/269
38/269,-165/269
214/807,-165/269
-440/807,-493/807
-436/807,-493/807
-142/269,-493/807
-424/807,-493/807
-386/807,-493/807
-102/269,-493/807
-304/807,-493/807
-302/807,-493/807
-100/269,-493/807
-278/807,-493/807
-274/807,-493/807
-272/807,-493/807
64/807,-493/807
22/269,-493/807
68/807,-493/807
70/807,-493/807
24/269,-493/807
74/807,-493/807
76/807,-493/807
28/269,-493/807
112/807,-493/807
38/269,-493/807
116/807,-493/807
-146/269,-491/807
-436/807,-491/807
-424/807,-491/807
-136/269,-491/807
-406/807,-491/807
-130/269,-491/807
-388/807,-491/807
-100/269,-491/807
-298/807,-491/807
-296/807,-491/807
-278/807,-491/807
-92/269,-491/807
-274/807,-491/807
76/807,-491/807
26/269,-491/807
28/269,-491/807
86/807,-491/807
112/807,-491/807
116/807,-491/807
-150/269,-163/269
-440/807,-163/269
-146/269,-163/269
-424/807,-163/269
-422/807,-163/269
-412/807,-163/269
-136/269,-163/269
-400/807,-163/269
-394/807,-163/269
-392/807,-163/269
-130/269,-163/269
-388/807,-163/269
-112/269,-163/269
-110/269,-163/269
-326/807,-163/269
-108/269,-163/269
-100/269,-163/269
-296/807,-163/269
26/269,-163/269
80/807,-163/269
86/807,-163/269
88/807,-163/269
112/807,-163/269
38/269,-163/269
-440/807,-487/807
-424/807,-487/807
-138/269,-487/807
-136/269,-487/807
-406/807,-487/807
-404/807,-487/807
-134/269,-487/807
-400/807,-487/807
-398/807,-487/807
-394/807,-487/807
-388/807,-487/807
-386/807,-487/807
-298/807,-487/807
-296/807,-487/807
-98/269,-487/807
80/807,-487/807
82/807,-487/807
28/269,-487/807
88/807,-487/807
30/269,-487/807
110/807,-487/807
112/807,-487/807
116/807,-487/807
-440/807,-485/807
-146/269,-485/807
-424/807,-485/807
-422/807,-485/807
-140/269,-485/807
-418/807,-485/807
-416/807,-485/807
-138/269,-485/807
-412/807,-485/807
-410/807,-485/807
-136/269,-485/807
-398/807,-485/807
-132/269,-485/807
-394/807,-485/807
-392/807,-485/807
-130/269,-485/807
-388/807,-485/807
-386/807,-485/807
-112/269,-485/807
-334/807,-485/807
-110/269,-485/807
-314/807,-485/807
